FID,id,gna,nam,fna,línea,caa,progresiva,fuente,geom,long,lat
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70f5,5,Estación,Chilavert,Estación Chilavert,Mitre,SOFSE,21.282,Operador,POINT (-58.56694067387004 -34.5421696046724),-58.56694067,-34.5421696
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70f6,11,Estación,Coghlan,Estación Coghlan,Mitre,SOFSE,10.4,Operador,POINT (-58.47519175721897 -34.56528774613794),-58.47519176,-34.56528775
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70f7,20,Estación,Av. Maipú,Estación Av. Maipú,Mitre,SOFSE,0,Operador,POINT (-58.48805634848892 -34.513565929231014),-58.48805635,-34.51356593
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70f8,22,Estación,Libertador,Estación Libertador,Mitre,SOFSE,1.435,Operador,POINT (-58.48197047799704 -34.50202497236412),-58.48197048,-34.50202497
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70f9,23,Estación,J. Anchorena,Estación J. Anchorena,Mitre,SOFSE,2.934,Operador,POINT (-58.48127507479585 -34.489012841041585),-58.48127507,-34.48901284
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70fa,1,Estación,San Martin,Estación San Martin,Mitre,SOFSE,16.55,Operador,POINT (-58.53165277777826 -34.57367499999977),-58.53165278,-34.573675
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70fb,35,Estación,Zelaya,Estación Zelaya,Mitre,SOFSE,56.193,Operador,POINT (-58.86932932095535 -34.37014148183165),-58.86932932,-34.37014148
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70fc,36,Estación,Los Cardales,Estación Los Cardales,Mitre,SOFSE,67.6,Operador,POINT (-58.98742484910216 -34.33087159440235),-58.98742485,-34.33087159
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70fd,47,Estación,Virreyes,Estación Virreyes,Mitre,SOFSE,23.813,Operador,POINT (-58.55051610629756 -34.45076258343393),-58.55051611,-34.45076258
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70fe,8,Estación,Gral. Urquiza,Estación Gral. Urquiza,Mitre,SOFSE,12.2,Operador,POINT (-58.48791522109579 -34.57471894674531),-58.48791522,-34.57471895
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_70ff,9,Estación,Pueyrredon,Estación Pueyrredon,Mitre,SOFSE,13.673,Operador,POINT (-58.501790547946406 -34.580477849125124),-58.50179055,-34.58047785
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7100,14,Estación,Florida,Estación Florida,Mitre,SOFSE,15.1,Operador,POINT (-58.494454201908844 -34.5303263517138),-58.4944542,-34.53032635
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7101,15,Estación,Dr. Cetrángolo,Estación Dr. Cetrángolo,Mitre,SOFSE,15.86,Operador,POINT (-58.494147205230774 -34.5231288200025),-58.49414721,-34.52312882
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7102,51,Empalme,Empalme Maldonado,Empalme Empalme Maldonado,Mitre,,4.6,,POINT (-58.413340654746236 -34.56757788953097),-58.41334065,-34.56757789
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7103,70,Estación,Las Malvinas,Estación Las Malvinas,Sarmiento,SOFSE,49.1,Operador,POINT (-58.921787563286166 -34.61616195128908),-58.92178756,-34.61616195
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7104,72,Estación,Gral. Rodríguez,Estación Gral. Rodríguez,Sarmiento,SOFSE,52.057,Operador,POINT (-58.9530938068155 -34.60887961776577),-58.95309381,-34.60887962
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7105,3,Estación,Villa Ballester,Estación Villa Ballester,Mitre,SOFSE,19.925,Operador,POINT (-58.55608130899839 -34.550913641094404),-58.55608131,-34.55091364
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7106,25,Estación,San Isidro R,Estación San Isidro R,Mitre,SOFSE,6.903,Operador,POINT (-58.50843608957171 -34.46534033170614),-58.50843609,-34.46534033
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7107,26,Estación,Punta Chica,Estación Punta Chica,Mitre,SOFSE,9.052,Operador,POINT (-58.523877599331506 -34.45052313046049),-58.5238776,-34.45052313
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7108,118,Estación,Tristán Suarez,Estación Tristán Suarez,Roca,SOFSE,38.089,Operador,POINT (-58.56763478248225 -34.88934887031695),-58.56763478,-34.88934887
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_7109,119,Estación,Unión Ferroviaria,Estación Unión Ferroviaria,Roca,SOFSE,35.012,Operador,POINT (-58.5432554220963 -34.87018479611106),-58.54325542,-34.8701848
Estacion_ffcc_serv_22.view.fid--17805235_19bfc7f60e0_710a,124,Estación,Kloosterman,Estación Kloosterman,Roca,SOFSE,53.704,Operador,POINT (-58.692779181913906 -34.98802655960638),-58.69277918,-34.98802656
